线路,线路类型,现设计时速,电气化,建成年份,起点,终点,途径站点,,
精霍线,普速铁路,120,是,2010.7.1,奎屯,霍尔果斯,奎屯-霍尔果斯,精河分叉,
奎北线-北阿线,普速铁路,120,否,2017.6.10,奎屯,阿勒泰,奎屯-阿勒泰,精河分叉,
张集铁路,普速铁路,160,是,2006.5.1,张家口,集宁南,张家口-大同-集宁南,,
胶济客运专线,快速铁路,200,是,2008.12.21,济南,青岛,济南-潍坊-青岛,D字头，走潍坊,
胶济线,普速铁路,200,是,1904,济南,青岛,济南-潍坊-青岛,,
济青高铁,高速铁路,350,是,2018.12.26,济南东,青岛北,济南西-潍坊北-青岛北,G字头，走潍坊北,
石济客专线,高速铁路,250,是,2018.12.26,石家庄,济南东,石家庄-德州东-济南东,,
富西线,普速铁路,N/A,否,1972,齐齐哈尔,漠河,齐齐哈尔-加格达奇-漠河,,
伊加线,普速铁路,N/A,否,1965.9,伊图里河,加格达奇,伊图里河-加格达奇,,
绥佳线,普速铁路,70,否,1941.11,绥化,佳木斯,绥化-佳木斯,,
佳富线,普速铁路,70,否,1982,佳木斯,福利屯,佳木斯-福利屯,,
福前线,普速铁路,60,否,1982,福利屯,抚远,福利屯-抚远,福前线省略,
图佳线,普速铁路,N/A,否,1937.7,图们北,佳木斯,图们北-牡丹江-佳木斯,图们北-牡丹江停运,
鹤北线,普速铁路,N/A,否,1981.12.30,鹤岗,佳木斯,鹤岗-佳木斯,,
兰新客运专线,快速铁路,250,是,2014.12.26,兰州西,乌鲁木齐,兰州西-西宁-嘉峪关南-吐鲁番北-乌鲁木齐,,
金温铁路,快速铁路,200,是,2015.12.26,金华南,温州南,金华南-丽水-温州南,,
金温货线,普速铁路,N/A,是,1998.6.11,金华南,温州,金华南-丽水-温州,,
铜九铁路,普速铁路,140,否,2008.7.1,铜陵,九江,铜陵-九江,,
昌九城际,快速铁路,200,是,2010.9.20,九江,南昌西,九江-南昌西,,
衢九铁路,快速铁路,200,是,2017.12.28,衢州,九江,衢州-婺源-九江,与沪昆高铁、昌九城际有冲突，但建设时间更晚所以可以忽略,
南疆线-东段,普速铁路,120,是,1984,吐鲁番,库尔勒,吐鲁番-库尔勒,,
南疆线-西段,普速铁路,120,否,1999.12.6,库尔勒,喀什,库尔勒-喀什,,
喀和线,普速铁路,120,否,2011.6.28,喀什,和田,喀什-和田,,
南昆铁路,普速铁路,N/A,是,1997.11.30,南宁,昆明,南宁-百色-昆明,,
南昆客运专线-南百段,快速铁路,250,是,2015.12.11,南宁,百色,南宁-百色,,
南昆客运专线-昆百段,快速铁路,220,是,2016.12.28,昆明南,百色,昆明南-百色,,
昆玉河线-玉溪南,快速铁路,200,是,2016.12.15,昆明南,玉溪,昆明南-玉溪,,
昆玉铁路,普速铁路,N/A,是,1993.12,昆明,玉溪,昆明-玉溪,,
拉日铁路,普速铁路,120,否,2014.8.16,拉萨,日喀则,拉萨-日喀则,,
兰青铁路,普速铁路,160,是,1959.9,兰州,西宁,兰州-西宁,,
徐兰高铁-郑西段,高速铁路,350,是,2010.2.6,郑州东,西安北,郑州东-洛阳龙门-华山北-西安北,,
徐兰高铁-西宝段,高速铁路,350,是,2013.12.28,西安北,宝鸡南,西安北-宝鸡南,,
徐兰高铁-郑徐段,高速铁路,350,是,2016.9.10,郑州东,徐州东,郑州东-开封北-商丘-徐州东,,
徐兰高铁-宝兰段,高速铁路,250,是,2017.7.9,宝鸡南,兰州西,宝鸡南-天水南-兰州西,,
南同蒲线,普速铁路,120,是,1939,太原,华山,太原-临汾-华山,,
大西高铁-北段,高速铁路,250,是,2014.7.1,大同南,太原南,原平西-太原南,大同-原平段特殊,
大西高铁-南段,高速铁路,250,是,2014.7.1,太原南,西安北,太原南-临汾西-西安北,,
焦柳铁路-怀化以北,普速铁路,120,是,1970,焦作,怀化,焦作-南阳-襄阳-张家界-怀化,年份拆分,
焦柳铁路-怀化以南,普速铁路,120,否,1978,怀化,柳州,怀化-柳州,,
黔桂铁路,普速铁路,160,是,1944,柳州,贵阳,柳州-贵阳,年份模糊,
孟平铁路,普速铁路,160,是,1957,漯河,平顶山,漯河-平顶山,近似宝丰,
宁安城际,高速铁路,250,是,2015.12.6,南京南,安庆,南京南-芜湖-铜陵-安庆,,
宁杭高铁,高速铁路,350,是,2013.7.1,南京南,杭州东,南京南-杭州东,,
柳南城际,快速铁路,250,是,2013.12.3,柳州,南宁,柳州-南宁,,
南防铁路,普速铁路,70,是,1986.12,南宁,防城港北,南宁-防城港北,停运,
邕北铁路,快速铁路,250,是,2013.12.28,南宁东,北海,南宁东-北海,,
郑渝高铁-郑襄段,高速铁路,350,是,2019.12.1,郑州东,襄阳东,郑州东-平顶山西-南阳东-襄阳东,南阳,
郑渝高铁-渝万段,高速铁路,250,是,2016.11.28,重庆北,万州北,重庆北-万州北,,
平齐线,普速铁路,140,是,1923,四平,齐齐哈尔,四平-双辽-白城-齐齐哈尔,,
鹰厦铁路,普速铁路,70,是,1958.1.3,鹰潭,厦门北,鹰潭-厦门北,,
津山铁路,普速铁路,160,是,1984,天津,山海关,NULL,多线,
沈吉线,普速铁路,120,是,1904,沈阳,吉林,沈阳-抚顺北-梅河口-吉林,,
